Gene,Set
CACNA1G,SCZ_SCHEMA genes (GWS)
CUL1,SCZ_SCHEMA genes (GWS)
GRIA3,SCZ_SCHEMA genes (GWS)
GRIN2A,SCZ_SCHEMA genes (GWS)
HERC1,SCZ_SCHEMA genes (GWS)
RB1CC1,SCZ_SCHEMA genes (GWS)
SETD1A,SCZ_SCHEMA genes (GWS)
SP4,SCZ_SCHEMA genes (GWS)
TRIO,SCZ_SCHEMA genes (GWS)
XPO7,SCZ_SCHEMA genes (GWS)
AKAP11,SCZ_SCHEMA genes (FDR < 5%)
ANKRD12,SCZ_SCHEMA genes (FDR < 5%)
ASH1L,SCZ_SCHEMA genes (FDR < 5%)
CACNA1G,SCZ_SCHEMA genes (FDR < 5%)
CUL1,SCZ_SCHEMA genes (FDR < 5%)
DAGLA,SCZ_SCHEMA genes (FDR < 5%)
DNM3,SCZ_SCHEMA genes (FDR < 5%)
EIF2S3,SCZ_SCHEMA genes (FDR < 5%)
FAM120A,SCZ_SCHEMA genes (FDR < 5%)
FAM178A,SCZ_SCHEMA genes (FDR < 5%)
GRIA3,SCZ_SCHEMA genes (FDR < 5%)
GRIN2A,SCZ_SCHEMA genes (FDR < 5%)
HCN4,SCZ_SCHEMA genes (FDR < 5%)
HERC1,SCZ_SCHEMA genes (FDR < 5%)
HIST1H1E,SCZ_SCHEMA genes (FDR < 5%)
KDM6B,SCZ_SCHEMA genes (FDR < 5%)
MAGEC1,SCZ_SCHEMA genes (FDR < 5%)
MAGI2,SCZ_SCHEMA genes (FDR < 5%)
NR3C2,SCZ_SCHEMA genes (FDR < 5%)
OR4P4,SCZ_SCHEMA genes (FDR < 5%)
PREP,SCZ_SCHEMA genes (FDR < 5%)
RB1CC1,SCZ_SCHEMA genes (FDR < 5%)
SETD1A,SCZ_SCHEMA genes (FDR < 5%)
SLC22A11,SCZ_SCHEMA genes (FDR < 5%)
SP4,SCZ_SCHEMA genes (FDR < 5%)
SRRM2,SCZ_SCHEMA genes (FDR < 5%)
STAG1,SCZ_SCHEMA genes (FDR < 5%)
SV2A,SCZ_SCHEMA genes (FDR < 5%)
TRIO,SCZ_SCHEMA genes (FDR < 5%)
XPO7,SCZ_SCHEMA genes (FDR < 5%)
ZMYM2,SCZ_SCHEMA genes (FDR < 5%)
ZNF136,SCZ_SCHEMA genes (FDR < 5%)
AKAP11,SCZ_SCHEMA (p<10e-5)
CACNA1G,SCZ_SCHEMA (p<10e-5)
CUL1,SCZ_SCHEMA (p<10e-5)
GRIA3,SCZ_SCHEMA (p<10e-5)
GRIN2A,SCZ_SCHEMA (p<10e-5)
HCN4,SCZ_SCHEMA (p<10e-5)
HERC1,SCZ_SCHEMA (p<10e-5)
RB1CC1,SCZ_SCHEMA (p<10e-5)
SETD1A,SCZ_SCHEMA (p<10e-5)
SP4,SCZ_SCHEMA (p<10e-5)
TRIO,SCZ_SCHEMA (p<10e-5)
XPO7,SCZ_SCHEMA (p<10e-5)
ZNF136,SCZ_SCHEMA (p<10e-5)
AKAP11,SCZ_SCHEMA (p<10e-4)
ANKRD12,SCZ_SCHEMA (p<10e-4)
ASH1L,SCZ_SCHEMA (p<10e-4)
CACNA1G,SCZ_SCHEMA (p<10e-4)
CUL1,SCZ_SCHEMA (p<10e-4)
DAGLA,SCZ_SCHEMA (p<10e-4)
DNM3,SCZ_SCHEMA (p<10e-4)
EIF2S3,SCZ_SCHEMA (p<10e-4)
FAM120A,SCZ_SCHEMA (p<10e-4)
FAM178A,SCZ_SCHEMA (p<10e-4)
GRIA3,SCZ_SCHEMA (p<10e-4)
GRIN2A,SCZ_SCHEMA (p<10e-4)
HCN4,SCZ_SCHEMA (p<10e-4)
HERC1,SCZ_SCHEMA (p<10e-4)
HIST1H1E,SCZ_SCHEMA (p<10e-4)
KDM6B,SCZ_SCHEMA (p<10e-4)
MAGEC1,SCZ_SCHEMA (p<10e-4)
MAGI2,SCZ_SCHEMA (p<10e-4)
NR3C2,SCZ_SCHEMA (p<10e-4)
OR4P4,SCZ_SCHEMA (p<10e-4)
PREP,SCZ_SCHEMA (p<10e-4)
RB1CC1,SCZ_SCHEMA (p<10e-4)
SETD1A,SCZ_SCHEMA (p<10e-4)
SLC22A11,SCZ_SCHEMA (p<10e-4)
SP4,SCZ_SCHEMA (p<10e-4)
SRRM2,SCZ_SCHEMA (p<10e-4)
STAG1,SCZ_SCHEMA (p<10e-4)
SV2A,SCZ_SCHEMA (p<10e-4)
TRIO,SCZ_SCHEMA (p<10e-4)
XPO7,SCZ_SCHEMA (p<10e-4)
ZMYM2,SCZ_SCHEMA (p<10e-4)
ZNF136,SCZ_SCHEMA (p<10e-4)
AKAP11,SCZ_SCHEMA (p<0.001)
ANKRD12,SCZ_SCHEMA (p<0.001)
ASH1L,SCZ_SCHEMA (p<0.001)
ATP9A,SCZ_SCHEMA (p<0.001)
BSCL2,SCZ_SCHEMA (p<0.001)
CACNA1G,SCZ_SCHEMA (p<0.001)
CACNA2D1,SCZ_SCHEMA (p<0.001)
CGREF1,SCZ_SCHEMA (p<0.001)
CRAT,SCZ_SCHEMA (p<0.001)
CUL1,SCZ_SCHEMA (p<0.001)
DAGLA,SCZ_SCHEMA (p<0.001)
DNM3,SCZ_SCHEMA (p<0.001)
EIF2S3,SCZ_SCHEMA (p<0.001)
FABP7,SCZ_SCHEMA (p<0.001)
FAM120A,SCZ_SCHEMA (p<0.001)
FAM178A,SCZ_SCHEMA (p<0.001)
FYN,SCZ_SCHEMA (p<0.001)
GRIA3,SCZ_SCHEMA (p<0.001)
GRIN2A,SCZ_SCHEMA (p<0.001)
HCN4,SCZ_SCHEMA (p<0.001)
HERC1,SCZ_SCHEMA (p<0.001)
HIST1H1E,SCZ_SCHEMA (p<0.001)
HMGCR,SCZ_SCHEMA (p<0.001)
KCNN3,SCZ_SCHEMA (p<0.001)
KDM6B,SCZ_SCHEMA (p<0.001)
LMBR1L,SCZ_SCHEMA (p<0.001)
MAGEC1,SCZ_SCHEMA (p<0.001)
MAGI2,SCZ_SCHEMA (p<0.001)
MPPED1,SCZ_SCHEMA (p<0.001)
NPRL3,SCZ_SCHEMA (p<0.001)
NR3C2,SCZ_SCHEMA (p<0.001)
NR4A2,SCZ_SCHEMA (p<0.001)
OR2T8,SCZ_SCHEMA (p<0.001)
OR4P4,SCZ_SCHEMA (p<0.001)
PCLO,SCZ_SCHEMA (p<0.001)
PCNXL3,SCZ_SCHEMA (p<0.001)
POTEF,SCZ_SCHEMA (p<0.001)
PREP,SCZ_SCHEMA (p<0.001)
PTGER1,SCZ_SCHEMA (p<0.001)
RB1CC1,SCZ_SCHEMA (p<0.001)
S100P,SCZ_SCHEMA (p<0.001)
SCAF1,SCZ_SCHEMA (p<0.001)
SETD1A,SCZ_SCHEMA (p<0.001)
SLC22A11,SCZ_SCHEMA (p<0.001)
SLC25A43,SCZ_SCHEMA (p<0.001)
SLC34A2,SCZ_SCHEMA (p<0.001)
SLITRK5,SCZ_SCHEMA (p<0.001)
SOBP,SCZ_SCHEMA (p<0.001)
