gene_name	isoformUpregulated	isoformDownregulated	dIF	isoform_switch_q_value
TSPAN6	TALONT000741383	ENST00000373020.9_3	0.14033333333333334	1.2295947386504944e-6
TSPAN6	TALONT000741388	ENST00000373020.9_3	0.1963333333333333	7.889740503372463e-5
HS3ST1	ENST00000510712.1_2	ENST00000002596.6_3	0.2766666666666667	0.026969268865410494
HECW1	TALONT000765423	TALONT000765950	0.09933333333333333	4.123148444924809e-9
HECW1	TALONT000765423	TALONT000765956	0.09933333333333333	4.123148444924809e-9
HECW1	TALONT000765424	TALONT000765950	0.05366666666666667	0.0019202774905823664
HECW1	TALONT000765424	TALONT000765956	0.05366666666666667	0.0019202774905823664
KLHL13	ENST00000262820.7_3	ENST00000371882.5_2	0.15799999999999997	1.9621301172522944e-9
KLHL13	ENST00000262820.7_3	ENST00000540167.5_3	0.15799999999999997	1.9621301172522944e-9
KLHL13	ENST00000469946.5_4	ENST00000371882.5_2	0.19566666666666666	0.004296330856783818
KLHL13	ENST00000469946.5_4	ENST00000540167.5_3	0.19566666666666666	0.004296330856783818
POLDIP2	TALONT000313242	TALONT000313165	0.020333333333333335	0.022094567170317925
POLDIP2	TALONT001092603	TALONT000313165	0.013333333333333332	0.0038162982864733976
AK2	ENST00000550338.5_2	ENST00000548033.5_3	0.32	3.5508821744808284e-7
KDM1A	ENST00000400181.8_1	TALONT000284120	0.02333333333333333	0.018309732721186453
KDM1A	TALONT000283942	TALONT000284120	0.033	0.00844091313789911
KDM1A	TALONT000284188	ENST00000356634.7_1	0.027333333333333338	0.003221822690177045
KDM1A	TALONT000284188	TALONT000283924	0.027333333333333338	0.003221822690177045
KDM1A	TALONT000284275	ENST00000356634.7_1	0.046	0.001094260150399389
KDM1A	TALONT000284275	TALONT000283924	0.046	0.001094260150399389
KDM1A	TALONT000284275	TALONT000284120	0.046	0.001094260150399389
KDM1A	TALONT000284322	ENST00000356634.7_1	0.03133333333333333	0.004495782690952969
KDM1A	TALONT000284322	TALONT000283924	0.03133333333333333	0.004495782690952969
KDM1A	TALONT000284322	TALONT000284120	0.03133333333333333	0.004495782690952969
KDM1A	TALONT001126943	ENST00000356634.7_1	0.03166666666666666	0.02929686307876233
KDM1A	TALONT001126943	TALONT000283924	0.03166666666666666	0.02929686307876233
KDM1A	TALONT001126943	TALONT000284120	0.03166666666666666	0.02929686307876233
ST7	ENST00000393447.8_1	ENST00000393451.7_2	0.17133333333333334	0.0015053099250259506
KMT2E	ENST00000476671.5_1	TALONT000809150	0.020333333333333328	0.00652526083176526
KMT2E	ENST00000476671.5_1	TALONT000809826	0.020333333333333328	0.00652526083176526
KMT2E	ENST00000476671.5_1	TALONT000809832	0.020333333333333328	0.00652526083176526
KMT2E	TALONT000809829	TALONT000809150	0.034	2.7071604476505907e-15
KMT2E	TALONT000809829	TALONT000809826	0.034	2.7071604476505907e-15
KMT2E	TALONT000809848	TALONT000809150	0.014000000000000002	4.943571176221323e-6
KMT2E	TALONT000809848	TALONT000809826	0.014000000000000002	4.943571176221323e-6
KMT2E	TALONT000809848	TALONT000809832	0.014000000000000002	4.943571176221323e-6
LAMP2	ENST00000434600.6_3	ENST00000200639.9_4	0.5266666666666667	8.19149398417932e-48
LAMP2	ENST00000434600.6_3	ENST00000371335.4_3	0.5266666666666667	8.19149398417932e-48
ETV1	ENST00000403527.5_2	ENST00000430479.6_4	0.052000000000000005	0.0037940619420616835
MARK4	TALONT000374907	TALONT001325568	0.08033333333333334	0.025169521012308974
MARK4	TALONT002558524	TALONT001325568	0.072	0.045756583382356844
PROM1	ENST00000513448.5_2	ENST00000508167.5_2	0.082	1.9860038516914653e-4
