"","ensembl_gene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","band"
"1","ENSG00000005189","AC004381.6","protein_coding","16",20817751,20860987,"p12.3"
"2","ENSG00000091436","MLTK","protein_coding","2",173940163,174132738,"q31.1"
"3","ENSG00000093100","XXbac-B461K10.4","processed_transcript","22",18270418,18294263,"q11.21"
"4","ENSG00000111788","RP11-22B23.1","pseudogene","12",9429831,9466684,"p13.31"
"5","ENSG00000116883","RP11-268J15.5","protein_coding","1",36789335,36794822,"p34.3"
"6","ENSG00000125385","RP11-297B17.2","pseudogene","9",37046832,37047234,"p13.2"
"7","ENSG00000143429","AC027612.6","pseudogene","2",91805186,91847998,"p11.1"
"8","ENSG00000143674","MLK4","protein_coding","1",233463514,233520894,"q42.2"
"9","ENSG00000146677","AC004453.8","pseudogene","7",44507441,44507939,"p13"
"10","ENSG00000150076","C10ORF68","protein_coding","10",32832297,33171802,"p11.22"
"11","ENSG00000152117","AC093838.4","pseudogene","2",132250386,132279146,"q21.1"
"12","ENSG00000157306","RP11-66N24.4","antisense","14",23980969,24029987,"q11.2"
"13","ENSG00000159186","AC007383.6","pseudogene","2",207100960,207101595,"q33.3"
"14","ENSG00000165121","RP11-213G2.3","pseudogene","9",88430881,88464426,"q21.33"
"15","ENSG00000166503","HDGFRP3","protein_coding","15",83784320,83876770,"q25.2"
"16","ENSG00000167524","SGK494","protein_coding","17",26934982,26941218,"q11.2"
"17","ENSG00000167674","HDGFRP2","protein_coding","19",4472284,4502223,"p13.3"
"18","ENSG00000167807","CTD-2369P2.10","protein_coding","19",10416103,10426685,"p13.2"
"19","ENSG00000167912","RP11-25K19.1","antisense","8",60031599,60033905,"q12.1"
"20","ENSG00000168824","NSG1","protein_coding","4",4349867,4420785,"p16.3"
"21","ENSG00000169075","BRD7P3","pseudogene","6",118822593,118824069,"q22.31"
"22","ENSG00000169253","RP11-220D10.1","pseudogene","9",111389113,111389430,"q31.3"
"23","ENSG00000170089","RP11-423H2.1","pseudogene","5",177236408,177377733,"q35.3"
"24","ENSG00000170091","NSG2","protein_coding","5",173472607,173670504,"q35.2"
"25","ENSG00000170161","RP11-262H14.4","lincRNA","9",66553273,66555928,"q13"
"26","ENSG00000170846","AC093323.3","lincRNA","4",6675178,6677774,"p16.1"
"27","ENSG00000172974","AC007318.5","pseudogene","2",65432137,65433396,"p14"
"28","ENSG00000173727","AP000769.1","protein_coding","11",65222728,65234028,"q13.1"
